Účet,Transfery,Popis,Kategorie,Datum,Částka
Hotovost,Unicredit,Výběr z bankomatu,,10/08/2015,1 000.00
Unicredit,,Doplatek za starý byt,Bydlení,10/08/2015,944.00
Unicredit,Hotovost,Výběr z bankomatu,,10/08/2015,-1 000.00
Hotovost,,Na stojáka,Volný čas > Párty,11/08/2015,-90.00
Hotovost,Unicredit,Výběr z bankomatu,,11/08/2015,1 000.00
Hotovost,,cigára,Volný čas > Cigarety a drogy,11/08/2015,-102.00
Hotovost,,Nákupy,Jídlo > Nákupy,11/08/2015,-265.00
Hotovost,,Do platek za vodu,Volný čas > Párty,11/08/2015,-200.00
Hotovost,,osvěžení v Hubu,Jídlo > Restaurace,11/08/2015,-30.00
Hotovost,,Sprosté slova,Práce > Další,11/08/2015,-20.00
Hotovost,,Holič,Služby > Holič,11/08/2015,-250.00
Unicredit,,Rohlik.cz,Jídlo > Nákupy,11/08/2015,-383.00
Unicredit,Hotovost,Výběr z bankomatu,,11/08/2015,-1 000.00
Hotovost,,"Tým B MŠ, Perseidy, Hub",Volný čas > Párty,12/08/2015,-250.00
Unicredit,,Katka - nájem,Bydlení,13/08/2015,2 250.00
Hotovost,,"Alkohol, pití v Hubu atd.",Volný čas > Párty,14/08/2015,-274.00
Hotovost,,Promítání fotek - Kambodža,Volný čas > Kulturní akce,16/08/2015,-100.00
Hotovost,,Kafé v Hubu,Volný čas > Schůzky,17/08/2015,-50.00
Hotovost,,žvýkačky,Jídlo > Nákupy,17/08/2015,-16.00
Hotovost,,Víno,Volný čas > Párty,18/08/2015,-125.00
Hotovost,Unicredit,Výběr z bankomatu,,18/08/2015,1 000.00
Unicredit,Hotovost,Výběr z bankomatu,,18/08/2015,-1 000.00
Hotovost,,Plakáty na Edventure,Práce > Další,19/08/2015,-944.00
Hotovost,Unicredit,Výběr z bankomatu,,19/08/2015,500.00
Unicredit,Hotovost,Výběr z bankomatu,,19/08/2015,-500.00
Unicredit,,Franta za plakáty,Další příjmy,20/08/2015,944.00
Hotovost,,Piva v Hubu atd.,Volný čas > Párty,21/08/2015,-139.00
Hotovost,,za minulý týden,Jídlo > Nákupy,21/08/2015,-150.00
Unicredit,,úroky na účtu,Služby > Poplatky a subscriptions,21/08/2015,-28.00
Hotovost,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",23/08/2015,-160.00
Hotovost,,Víkend v Brodě,Volný čas > Párty,23/08/2015,-98.00
Unicredit,,Nájem,Bydlení > Nájem,24/08/2015,-11 190.00
Unicredit,,Alča + Filip,Bydlení,24/08/2015,5 000.00
Hotovost,,Pomáda,Hygienické potřeby,25/08/2015,-350.00
Hotovost,Unicredit,Výběr z bankomatu,,25/08/2015,1 200.00
Hotovost,,Junk,Jídlo > Nákupy,25/08/2015,-31.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,25/08/2015,-107.00
Hotovost,,Bageta,Jídlo > Nákupy,25/08/2015,-50.00
Unicredit,Hotovost,Výběr z bankomatu,,25/08/2015,-1 200.00
Unicredit,,Taťka - kapesné,Dary,25/08/2015,2 000.00
Hotovost,,2 piva se Zuzkou na Stojáka,Volný čas > Párty,26/08/2015,-80.00
Hotovost,,Víno v Hubu se Zuzkou,Volný čas > Párty,26/08/2015,-95.00
Hotovost,,Kafé v Hubu,Jídlo > Restaurace,26/08/2015,-20.00
Unicredit,,Nákupy,Jídlo > Nákupy,26/08/2015,-644.00
Hotovost,,Hub Quiz,Volný čas > Kulturní akce,27/08/2015,-30.00
Hotovost,,Junk,Jídlo > Nákupy,27/08/2015,-53.00
Hotovost,,Kafé v Hubu,Jídlo > Restaurace,27/08/2015,-20.00
Hotovost,,2 piva v HUBu,Volný čas > Párty,27/08/2015,-40.00
Hotovost,,Stravování venku,Jídlo > Restaurace,27/08/2015,-120.00
Hotovost,,2 piva se Zuzkou,Volný čas > Párty,28/08/2015,-66.00
Hotovost,Unicredit,Výběr z bankomatu,,28/08/2015,400.00
Hotovost,,Junk,Jídlo > Nákupy,28/08/2015,-107.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,28/08/2015,-97.00
Unicredit,Hotovost,Výběr z bankomatu,,28/08/2015,-400.00
Hotovost,,V hubu,Jídlo > Nákupy,29/08/2015,-24.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,31/08/2015,-100.00
Hotovost,,"Piva na stojáka, v Hubu kafé atd.",Volný čas > Párty,31/08/2015,-200.00
Unicredit,,úroky na účtu,Služby > Poplatky a subscriptions,31/08/2015,-22.00
Hotovost,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",03/09/2015,-100.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,03/09/2015,-107.00
Hotovost,,Nákupy,Jídlo > Nákupy,03/09/2015,-280.00
Hotovost,,V Hubu oběd,Jídlo > Restaurace,03/09/2015,-120.00
Hotovost,,Vrácení dluhu Kubovi,Volný čas > Párty,03/09/2015,-200.00
Hotovost,,Vrácení Radkovi peníze za vodu,Volný čas > Kulturní akce,03/09/2015,-600.00
Hotovost,Unicredit,Výběr z bankomatu,,03/09/2015,2 000.00
Unicredit,Hotovost,Výběr z bankomatu,,03/09/2015,-2 000.00
Unicredit,,Taťka - kapesné,Dary,03/09/2015,8 000.00
Hotovost,,Zubař,Služby > Zdravotní náklady,04/09/2015,-780.00
Hotovost,Unicredit,Výběr z bankomatu,,04/09/2015,400.00
Hotovost,Unicredit,Výběr z bankomatu,,04/09/2015,1 000.00
Unicredit,Hotovost,Výběr z bankomatu,,04/09/2015,-400.00
Unicredit,Hotovost,Výběr z bankomatu,,04/09/2015,-1 000.00
Unicredit,,Brno - Internet,Bydlení > Další,04/09/2015,-696.00
Hotovost,,Hody v Nivnici,Volný čas > Párty,06/09/2015,-778.00
Hotovost,,Inspirujme,Volný čas > Schůzky,08/09/2015,-50.00
Hotovost,,Tatranka,Jídlo > Restaurace,08/09/2015,-10.00
Unicredit,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",08/09/2015,-80.00
Hotovost,,Junk,Jídlo > Nákupy,09/09/2015,-58.00
Hotovost,,Party,Volný čas > Párty,10/09/2015,-320.00
Hotovost,Unicredit,Výběr z bankomatu,,10/09/2015,400.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,10/09/2015,-100.00
Unicredit,Hotovost,Výběr z bankomatu,,10/09/2015,-400.00
Unicredit,,Student Network - propagace,Práce > Další,10/09/2015,-2 000.00
Hotovost,Unicredit,Výběr z bankomatu,,11/09/2015,400.00
Hotovost,,Nákupy,Jídlo > Nákupy,11/09/2015,-308.00
Unicredit,Hotovost,Výběr z bankomatu,,11/09/2015,-400.00
Hotovost,,S M.Dvořákem - pivní festival,Volný čas > Párty,12/09/2015,-230.00
Hotovost,Unicredit,Výběr z bankomatu,,12/09/2015,500.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,12/09/2015,-100.00
Unicredit,Hotovost,Výběr z bankomatu,,12/09/2015,-500.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,13/09/2015,-100.00
Hotovost,,Jen tak za knihy,Dary,13/09/2015,2 310.00
Hotovost,,Laser Game + pivo,Volný čas > Fitness a sport,14/09/2015,-339.00
Hotovost,,Piva k radkovi + KFC + McD,Volný čas > Párty,14/09/2015,-280.00
Hotovost,,Nákup + mop,Jídlo > Nákupy,15/09/2015,-320.00
Unicredit,,Nájem - Kačka,Bydlení,15/09/2015,2 200.00
Hotovost,,Slavnosti vína + na stojáka,Volný čas > Párty,16/09/2015,-208.00
Hotovost,,Stravování venku,Jídlo > Restaurace,16/09/2015,-70.00
Hotovost,,Příjímací pohovor s Oudim,Volný čas > Schůzky,16/09/2015,-40.00
Hotovost,,Oběd - měděná pánev,Jídlo > Restaurace,16/09/2015,-140.00
Hotovost,,Pivka na párty,Volný čas > Párty,17/09/2015,-84.00
Hotovost,,večeře,Jídlo > Restaurace,17/09/2015,-55.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,17/09/2015,-97.00
Hotovost,,Nákupy,Jídlo > Nákupy,17/09/2015,-58.00
Hotovost,,Nákupy,Jídlo > Nákupy,18/09/2015,-251.00
Hotovost,,Kafé,Jídlo > Restaurace,18/09/2015,-20.00
Hotovost,,S Nikol na víno a pivo s jejíma bráchama,Volný čas > Párty,20/09/2015,-150.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,20/09/2015,-97.00
Hotovost,,Junk,Jídlo > Nákupy,20/09/2015,-53.00
Unicredit,,Půjčka od taťky,Další příjmy,21/09/2015,10 000.00
Hotovost,,Na stojáka jedno,Volný čas > Párty,22/09/2015,-40.00
Hotovost,,V anapurně,Jídlo > Restaurace,22/09/2015,-80.00
Hotovost,,Junk,Jídlo > Nákupy,22/09/2015,-55.00
Hotovost,,víno na párty,Volný čas > Párty,22/09/2015,-100.00
Hotovost,,Junk,Jídlo > Nákupy,22/09/2015,-166.00
Hotovost,,nadávky,Práce > Další,23/09/2015,-76.00
Unicredit,,Nájem,Bydlení > Nájem,23/09/2015,-11 190.00
Unicredit,,Filip nájem,Bydlení,23/09/2015,4 900.00
Hotovost,,Nikol - dárek,Dárky,24/09/2015,-210.00
Hotovost,Unicredit,Výběr z bankomatu,,24/09/2015,500.00
Unicredit,Hotovost,Výběr z bankomatu,,24/09/2015,-500.00
Hotovost,,Nákupy,Jídlo > Nákupy,25/09/2015,-115.00
Hotovost,,Nákupy,Jídlo > Nákupy,27/09/2015,-550.00
Hotovost,Unicredit,Výběr z bankomatu,,27/09/2015,1 000.00
Unicredit,,Brno - Internet,Bydlení > Další,27/09/2015,-429.00
Unicredit,Hotovost,Výběr z bankomatu,,27/09/2015,-1 000.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,28/09/2015,-97.00
Hotovost,,Junk,Jídlo > Nákupy,28/09/2015,-113.00
Hotovost,,Taťka v Brně,Dary,29/09/2015,1 000.00
Hotovost,,Kafé + klukům,Volný čas > Schůzky,29/09/2015,-60.00
Hotovost,,Oudimu za pizzu,Jídlo > Restaurace,29/09/2015,-120.00
Unicredit,,Dweck,Rozvoj a vzdělání > Knihy,29/09/2015,-243.00
Hotovost,,Pivo s Fijou a Pepou v Mýdle,Volný čas > Párty,30/09/2015,-198.00
Hotovost,,Hajzlpapír,Hygienické potřeby,30/09/2015,-120.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,30/09/2015,-106.00
Hotovost,,Oběd se Zuzkou,Jídlo > Restaurace,30/09/2015,-240.00
Hotovost,,Bageta,Jídlo > Restaurace,30/09/2015,-50.00
Unicredit,,Spotify,Služby > Poplatky a subscriptions,30/09/2015,-166.00
Unicredit,,Úroky z debetu,Služby > Poplatky a subscriptions,30/09/2015,-27.00
Hotovost,,Burger se Zuzkou,Jídlo > Restaurace,01/10/2015,-310.00
Hotovost,Unicredit,Výběr z bankomatu,,01/10/2015,1 000.00
Unicredit,Hotovost,Výběr z bankomatu,,01/10/2015,-1 000.00
Hotovost,,Junk,Jídlo > Nákupy,02/10/2015,-10.00
Hotovost,,Pomáda,Hygienické potřeby,02/10/2015,-350.00
Hotovost,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",02/10/2015,-80.00
Unicredit,,Tweetobot,AppStores,02/10/2015,-136.00
Unicredit,,"Edventure - web, plakáty",Práce > Další,02/10/2015,-5 250.00
Unicredit,,Výplata,Freelance,02/10/2015,10 000.00
Hotovost,,"Hody brod - alkohol, drogy",Volný čas > Párty,04/10/2015,-736.00
Hotovost,,Jiné,Doprava > Další,04/10/2015,-14.00
Hotovost,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",05/10/2015,-85.00
Hotovost,Unicredit,Výběr z bankomatu,,05/10/2015,1 400.00
Hotovost,,Zubař,Služby > Zdravotní náklady,05/10/2015,-1 050.00
Unicredit,,Vstupenka Enter Shikari,Volný čas > Kulturní akce,05/10/2015,-475.00
Unicredit,Hotovost,Výběr z bankomatu,,05/10/2015,-1 400.00
Unicredit,,Taťka - kapesné,Dary,05/10/2015,8 000.00
Hotovost,,Nákupy,Jídlo > Nákupy,06/10/2015,-112.00
Unicredit,,Nájem - Hub,Práce > Další,06/10/2015,-1 556.00
Hotovost,,"Pivo v Hubu, s Oudim + hermelín",Volný čas > Párty,07/10/2015,-290.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,07/10/2015,-97.00
Hotovost,Unicredit,Výběr z bankomatu,,07/10/2015,1 000.00
Unicredit,Hotovost,Výběr z bankomatu,,07/10/2015,-1 000.00
Hotovost,,Piva na Enter Shikari,Volný čas > Párty,08/10/2015,-182.00
Hotovost,,Stravování venku,Jídlo > Restaurace,08/10/2015,-15.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,08/10/2015,-87.00
Hotovost,,Nákupy,Jídlo > Nákupy,08/10/2015,-45.00
Hotovost,,Obed S Frantou,Jídlo > Restaurace,08/10/2015,-170.00
Unicredit,,MHD - Brno,Doprava > MHD,08/10/2015,-715.00
Hotovost,,Víno k večeři,Jídlo > Nákupy,09/10/2015,-65.00
Unicredit,,Nákupy,Jídlo > Nákupy,09/10/2015,-568.00
Hotovost,,Pivo na koncertě,Volný čas > Párty,10/10/2015,-149.00
Hotovost,,Nákupy,Jídlo > Nákupy,10/10/2015,-95.00
Hotovost,,Vstup na koncert,Volný čas > Kulturní akce,10/10/2015,-100.00
Hotovost,Unicredit,Výběr z bankomatu,,10/10/2015,500.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,10/10/2015,-87.00
Unicredit,Hotovost,Výběr z bankomatu,,10/10/2015,-500.00
Hotovost,,Junk,Jídlo > Nákupy,12/10/2015,-60.00
Hotovost,,Nákupy,Jídlo > Nákupy,13/10/2015,-56.00
Hotovost,,SKOG - mastermind,Volný čas > Schůzky,13/10/2015,-120.00
Hotovost,Unicredit,Výběr z bankomatu,,13/10/2015,500.00
Hotovost,,Stravování venku,Jídlo > Restaurace,13/10/2015,-130.00
Unicredit,Hotovost,Výběr z bankomatu,,13/10/2015,-500.00
Unicredit,,Nájem - Kačka,Bydlení,13/10/2015,2 200.00
Hotovost,,Nákupy,Jídlo > Nákupy,14/10/2015,-81.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,14/10/2015,-89.00
Hotovost,,Holič,Služby > Holič,14/10/2015,-250.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,15/10/2015,-89.00
Hotovost,,"Pivo s Nikol, Tomem Dokulilem",Volný čas > Párty,15/10/2015,-200.00
Hotovost,Unicredit,Výběr z bankomatu,,15/10/2015,600.00
Unicredit,,Nákupy,Jídlo > Nákupy,15/10/2015,-564.00
Unicredit,Hotovost,Výběr z bankomatu,,15/10/2015,-600.00
Unicredit,,iTunes,AppStores,17/10/2015,-28.00
Hotovost,,Poslední junk,Jídlo > Nákupy,18/10/2015,-192.00
Unicredit,,BeEager,"Rozvoj a vzdělání > Přednášky, konference a kurzy",22/10/2015,-480.00
Unicredit,,Brno - Internet,Bydlení > Další,22/10/2015,-429.00
Hotovost,,"Pivo s Tomem a Market, plechy, gyros",Volný čas > Párty,23/10/2015,-193.00
Hotovost,Unicredit,Výběr z bankomatu,,23/10/2015,600.00
Hotovost,,Kafé v Hubu,Jídlo > Restaurace,23/10/2015,-20.00
Unicredit,Hotovost,Výběr z bankomatu,,23/10/2015,-600.00
Unicredit,,Nákupy,Jídlo > Nákupy,23/10/2015,-717.00
Hotovost,,Víno k večeři,Jídlo > Nákupy,24/10/2015,-75.00
Hotovost,,S děckama z ESF,Volný čas > Párty,26/10/2015,-231.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,26/10/2015,-104.00
Unicredit,,BeEager - vratka zálohy,Další příjmy,26/10/2015,1 000.00
Hotovost,,Pivo k obědu,Jídlo > Restaurace,27/10/2015,-20.00
Unicredit,,Nájem,Bydlení > Nájem,27/10/2015,-10 930.00
Unicredit,,Filip nájem,Bydlení,27/10/2015,4 600.00
Hotovost,,Od Zuzka za jídlo,Další příjmy,28/10/2015,200.00
Unicredit,,Dámejídlo,Jídlo > Delivery,28/10/2015,-277.00
Hotovost,,Piva v Hubu,Jídlo > Restaurace,29/10/2015,-100.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,29/10/2015,-89.00
Unicredit,,Praha a zpět,"Doprava > Vlaky, autobusy a jiné",29/10/2015,-510.00
Hotovost,,Junk,Jídlo > Nákupy,30/10/2015,-68.00
Hotovost,,Piva v Hubu,Volný čas > Párty,30/10/2015,-100.00
Hotovost,,Nákupy,Jídlo > Nákupy,30/10/2015,-36.00
Hotovost,,Stravování venku,Jídlo > Restaurace,30/10/2015,-150.00
Hotovost,Unicredit,Výběr z bankomatu,,30/10/2015,800.00
Hotovost,,Kafé v Hubu,Jídlo > Restaurace,30/10/2015,-20.00
Unicredit,Hotovost,Výběr z bankomatu,,30/10/2015,-800.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,31/10/2015,-89.00
Hotovost,,Oběd v Praze,Jídlo > Restaurace,31/10/2015,-220.00
Unicredit,,Úroky z debetu,Služby > Poplatky a subscriptions,31/10/2015,-7.00
Hotovost,,Večeře se Zuzi,Jídlo > Restaurace,02/11/2015,-300.00
Hotovost,Unicredit,Výběr z bankomatu,,02/11/2015,600.00
Hotovost,,Junk,Jídlo > Nákupy,02/11/2015,-71.00
Hotovost,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",02/11/2015,-100.00
Unicredit,Hotovost,Výběr z bankomatu,,02/11/2015,-600.00
Hotovost,,Bageta,Jídlo > Nákupy,03/11/2015,-55.00
Hotovost,,"Kalhoty, Remen, 2 Kosile, Natelniky",Oblečení,03/11/2015,-2 172.00
Hotovost,,Obed,Jídlo > Restaurace,03/11/2015,-120.00
Hotovost,,Foxy,Freelance,03/11/2015,3 000.00
Hotovost,,Kafé v Hubu,Jídlo > Restaurace,03/11/2015,-40.00
Unicredit,,Spotify,Služby > Poplatky a subscriptions,03/11/2015,-166.00
Hotovost,,Konference Hrej - o koučinku,"Rozvoj a vzdělání > Přednášky, konference a kurzy",04/11/2015,-300.00
Unicredit,,Foxy,Freelance,04/11/2015,7 000.00
Unicredit,,Taťka - kapesné,Dary,04/11/2015,100 000.00
Hotovost,,Junk,Jídlo > Nákupy,05/11/2015,-222.00
Hotovost,,Dárky k narozeninám pro Zuzku,Dárky,06/11/2015,-697.00
Hotovost,,Víno k večeři,Jídlo > Nákupy,06/11/2015,-65.00
Hotovost,Unicredit,Výběr z bankomatu,,06/11/2015,1 000.00
Hotovost,,Očíštěno o transakce s ISIC,Další výdaje,06/11/2015,-300.00
Unicredit,,Nákupy,Jídlo > Nákupy,06/11/2015,-753.00
Unicredit,,Hygienické potřeby,Hygienické potřeby,06/11/2015,-95.70
Unicredit,Hotovost,Výběr z bankomatu,,06/11/2015,-1 000.00
Hotovost,,Party,Volný čas > Párty,07/11/2015,-202.00
Hotovost,,MHD Ostrava,Doprava > MHD,07/11/2015,-40.00
Hotovost,,Brno - Ostrava,"Doprava > Vlaky, autobusy a jiné",07/11/2015,-230.00
Unicredit,,Ostrava - Brod,"Doprava > Vlaky, autobusy a jiné",07/11/2015,-179.00
Hotovost,,Pomáda,Hygienické potřeby,09/11/2015,-350.00
Hotovost,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",09/11/2015,-100.00
Hotovost,Unicredit,Výběr z bankomatu,,09/11/2015,1 000.00
Unicredit,,Hub - nájem,Práce > Další,09/11/2015,-1 556.00
Unicredit,Hotovost,Výběr z bankomatu,,09/11/2015,-1 000.00
Unicredit,,Brno - KV a zpět (+ Zuzka),"Doprava > Vlaky, autobusy a jiné",09/11/2015,-1 480.00
Hotovost,,Piva s Nikol,Volný čas > Párty,10/11/2015,-130.00
Hotovost,,Polévka s Nikol,Jídlo > Restaurace,10/11/2015,-116.00
Unicredit,,Nákupy,Jídlo > Nákupy,10/11/2015,-206.50
Unicredit,,Krém na boty,Oblečení,10/11/2015,-79.90
Hotovost,,Pivo s Klukama - Lokál U Caipla,Volný čas > Párty,11/11/2015,-300.00
Hotovost,Unicredit,Výběr z bankomatu,,11/11/2015,500.00
Hotovost,,Školení - FB,"Rozvoj a vzdělání > Přednášky, konference a kurzy",11/11/2015,-400.00
Hotovost,,Stravování venku,Jídlo > Restaurace,11/11/2015,-100.00
Unicredit,Hotovost,Výběr z bankomatu,,11/11/2015,-500.00
Hotovost,,Kafé v Hubu,Jídlo > Restaurace,12/11/2015,-20.00
Unicredit,,Monitor + kábl,Majetek > Elektronika,12/11/2015,-3 789.00
Unicredit,,Křeslo do kanclu,Majetek > Nábytek a vybavení,12/11/2015,-2 598.00
Hotovost,,Gytos,Jídlo > Restaurace,13/11/2015,-80.00
Hotovost,,"Hazl v Praze 2x, Pivo v Hubu + lístek do zóny ve Varech",Další výdaje,13/11/2015,-70.00
Hotovost,,Knihovna Chodov,Freelance,13/11/2015,2 500.00
Unicredit,,Nájem - Kačka,Bydlení,13/11/2015,2 300.00
Hotovost,,Junk,Jídlo > Nákupy,14/11/2015,-52.00
Hotovost,,Tyčinky,Jídlo > Nákupy,14/11/2015,-20.00
Unicredit,,Magnet - win mgmgt,AppStores,14/11/2015,-135.14
Unicredit,,Nákupy,Jídlo > Nákupy,14/11/2015,-439.90
Unicredit,,Hygienické potřeby,Hygienické potřeby,14/11/2015,-185.60
Hotovost,,Junk v Hubu,Jídlo > Nákupy,15/11/2015,-38.00
Unicredit,,DuetDisplay,AppStores,15/11/2015,-443.51
Hotovost,,Junk,Jídlo > Nákupy,16/11/2015,-56.00
Hotovost,,"U Palečka, nonstop",Volný čas > Párty,16/11/2015,-300.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,16/11/2015,-102.00
Hotovost,,Oběd,Jídlo > Restaurace,16/11/2015,-120.00
Hotovost,,Junk,Jídlo > Nákupy,16/11/2015,-26.00
Hotovost,,Party,Volný čas > Párty,17/11/2015,-120.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,17/11/2015,-89.00
Unicredit,,Burger do Hubu,Jídlo > Restaurace,17/11/2015,-326.00
Hotovost,,Stojánek na mobil,Majetek > Elektronika,18/11/2015,-898.00
Hotovost,,Symposium afterparty,Volný čas > Párty,19/11/2015,-183.00
Hotovost,,Oběd se Zuzkou + pivo v Hubu,Jídlo > Restaurace,19/11/2015,-225.00
Unicredit,,Niederle focení,Práce > Další,20/11/2015,-300.00
Unicredit,,Brno - Internet,Bydlení > Další,20/11/2015,-428.66
Unicredit,,Nájem,Bydlení > Nájem,20/11/2015,-10 810.00
Unicredit,,Upravit bilanci,Další příjmy,20/11/2015,49.74
Hotovost,,Junk,Jídlo > Nákupy,21/11/2015,-97.00
Hotovost,,Redbull,Jídlo > Nákupy,22/11/2015,-24.00
Hotovost,,Víno k večeři,Jídlo > Nákupy,23/11/2015,-65.00
Hotovost,Unicredit,Výběr z bankomatu,,23/11/2015,1 200.00
Hotovost,,Koučink,Volný čas > Schůzky,23/11/2015,-50.00
Hotovost,,Kafé v Hubu,Jídlo > Restaurace,23/11/2015,-20.00
Unicredit,Hotovost,Výběr z bankomatu,,23/11/2015,-1 200.00
Unicredit,,Nákupy,Jídlo > Nákupy,23/11/2015,-626.00
Unicredit,,Hygienické potřeby,Hygienické potřeby,23/11/2015,-59.90
Hotovost,,Doutník,Volný čas > Cigarety a drogy,24/11/2015,-100.00
Hotovost,,Hub MashUp,Volný čas > Párty,24/11/2015,-400.00
Unicredit,,Filip nájem,Bydlení,24/11/2015,4 550.00
Hotovost,,Ikea,Jídlo > Restaurace,25/11/2015,-120.00
Hotovost,,V Hubu,Jídlo > Nákupy,25/11/2015,-199.00
Unicredit,,Šuplíky,Majetek > Nábytek a vybavení,25/11/2015,-1 500.00
Unicredit,,Pixelmator,AppStores,26/11/2015,-413.28
Hotovost,Unicredit,Výběr z bankomatu,,27/11/2015,800.00
Hotovost,,Junk v Hubu,Jídlo > Nákupy,27/11/2015,-70.00
Unicredit,,Dárek Adámkovi,Dárky,27/11/2015,-500.00
Unicredit,Hotovost,Výběr z bankomatu,,27/11/2015,-800.00
Hotovost,,Amos + Nivnice (i za Zuzku),Volný čas > Párty,28/11/2015,-595.00
Hotovost,,Vrácení dluho Dominikovi,Další výdaje,28/11/2015,-200.00
Hotovost,,+ Zuzka,"Doprava > Vlaky, autobusy a jiné",29/11/2015,-320.00
Unicredit,,úroky,Služby > Poplatky a subscriptions,30/11/2015,-5.01
Hotovost,,Nákupy,Jídlo > Nákupy,01/12/2015,-32.00
Hotovost,Unicredit,Výběr z bankomatu,,01/12/2015,500.00
Hotovost,,Kafé,Volný čas > Schůzky,01/12/2015,-50.00
Unicredit,,Psací potřeby,Práce > Další,01/12/2015,-445.80
Unicredit,,Spotify,Služby > Poplatky a subscriptions,01/12/2015,-165.12
Unicredit,Hotovost,Výběr z bankomatu,,01/12/2015,-500.00
Unicredit,,Webinar Facebook,"Rozvoj a vzdělání > Přednášky, konference a kurzy",02/12/2015,-472.00
Unicredit,,Nákupy,Jídlo > Nákupy,02/12/2015,-448.00
Hotovost,,Junk,Jídlo > Nákupy,03/12/2015,-78.00
Hotovost,,Holič,Služby > Holič,03/12/2015,-400.00
Hotovost,Unicredit,Výběr z bankomatu,,03/12/2015,1 000.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,03/12/2015,-89.00
Unicredit,,Hub - nájem,Práce > Další,03/12/2015,-1 815.00
Unicredit,,Foxy,Freelance,03/12/2015,13 000.00
Unicredit,Hotovost,Výběr z bankomatu,,03/12/2015,-1 000.00
Hotovost,,"Piva, Medovina + kafé v Hubu",Volný čas > Párty,04/12/2015,-513.00
Hotovost,,Konzultace Ivoš Kadlic,Freelance,04/12/2015,500.00
Hotovost,,Oběd se Zuzkou,Jídlo > Restaurace,05/12/2015,-460.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,06/12/2015,-87.00
Hotovost,,Junk,Jídlo > Nákupy,06/12/2015,-89.00
Hotovost,Unicredit,Výběr z bankomatu,,07/12/2015,500.00
Hotovost,,"Hub - kafé, redbuly",Volný čas > Párty,07/12/2015,-358.00
Hotovost,,Stravování venku,Jídlo > Restaurace,07/12/2015,-85.00
Unicredit,Hotovost,Výběr z bankomatu,,07/12/2015,-500.00
Hotovost,,Turbomošty,Volný čas > Párty,08/12/2015,-120.00
Hotovost,,Yufka,Jídlo > Restaurace,08/12/2015,-45.00
Unicredit,,TextExpander + Airmail2,AppStores,08/12/2015,-834.69
Unicredit,,Semestr Praha,Freelance,08/12/2015,1 000.00
Hotovost,,Junk,Jídlo > Nákupy,09/12/2015,-73.00
Hotovost,,Junk,Jídlo > Nákupy,10/12/2015,-62.00
Hotovost,,Cigarety + drogy,Volný čas > Cigarety a drogy,10/12/2015,-89.00
Hotovost,,Stravování venku,Jídlo > Restaurace,10/12/2015,-130.00
Hotovost,Unicredit,Výběr z bankomatu,,10/12/2015,500.00
Hotovost,,Kafé,Volný čas > Schůzky,10/12/2015,-20.00
Unicredit,,Silvestr,Volný čas > Párty,10/12/2015,-2 800.00
Unicredit,Hotovost,Výběr z bankomatu,,10/12/2015,-500.00
Unicredit,,Pařba s Milošem,Volný čas > Párty,11/12/2015,-356.00
Unicredit,,Nákupy,Jídlo > Nákupy,11/12/2015,-628.60
Hotovost,,Stravování venku,Jídlo > Restaurace,12/12/2015,-200.00
Hotovost,Unicredit,Výběr z bankomatu,,14/12/2015,800.00
Unicredit,Hotovost,Výběr z bankomatu,,14/12/2015,-800.00
Unicredit,,Vánoční benefit?,Freelance,14/12/2015,3 000.00
