Účet,Transfery,Popis,Kategorie,Datum,Částka
Hotovost,,Cimbal,Volný čas > Párty,26/09/2013,-466.00
Hotovost,,Dan Pivo,Volný čas > Párty,26/09/2013,-130.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",27/09/2013,-100.00
Hotovost,,Pizza,Jídlo > Restaurace,29/09/2013,-30.00
Hotovost,,Peťa Pujcka,Další příjmy,30/09/2013,500.00
Hotovost,,Pivo,Volný čas > Párty,30/09/2013,-400.00
Hotovost,,Víno Na Esf Kurzu,Volný čas > Párty,30/09/2013,-400.00
Hotovost,,Víno,Volný čas > Párty,30/09/2013,-30.00
Hotovost,,Cesta Na Kurz Esf,"Doprava > Vlaky, autobusy a jiné",30/09/2013,-56.00
Hotovost,,Nákupy,Jídlo > Nákupy,30/09/2013,-100.00
Hotovost,,Prodluzka,Majetek > Nábytek a vybavení,30/09/2013,-75.00
Hotovost,,Nákupy,Jídlo > Nákupy,01/10/2013,-20.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,04/10/2013,-514.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",04/10/2013,-50.00
Hotovost,,Vracení Dluhu Petře,Další výdaje,06/10/2013,-500.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,08/10/2013,-117.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",08/10/2013,-80.00
Hotovost,,Knihy,Rozvoj a vzdělání > Knihy,08/10/2013,-89.00
Hotovost,,Nákupy,Jídlo > Nákupy,08/10/2013,-254.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,09/10/2013,-200.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",11/10/2013,-14.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",11/10/2013,-34.00
Hotovost,,Nákupy,Jídlo > Nákupy,11/10/2013,-136.00
Hotovost,,Faval S Filipem,Volný čas > Párty,11/10/2013,-550.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",13/10/2013,-100.00
Hotovost,,Nákupy,Jídlo > Nákupy,13/10/2013,-75.00
Hotovost,,Burcakovy Pochod,Volný čas > Párty,13/10/2013,-200.00
Hotovost,,Mamka Alǐety,Další výdaje,13/10/2013,-2 000.00
Hotovost,,Venku,Volný čas > Párty,16/10/2013,-357.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,16/10/2013,-215.00
Hotovost,,Stravování venku,Jídlo > Restaurace,17/10/2013,-75.00
Hotovost,,Exkurze Pivovar,Volný čas > Kulturní akce,17/10/2013,-100.00
Hotovost,,Vino,Jídlo > Nákupy,20/10/2013,-120.00
Hotovost,,Vino,Volný čas > Párty,20/10/2013,-30.00
Hotovost,,Vino,Volný čas > Párty,20/10/2013,-20.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",22/10/2013,-100.00
Hotovost,,Mamka - Socialka,Další příjmy,22/10/2013,700.00
Hotovost,,Spunty,Hygienické potřeby,22/10/2013,-18.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",22/10/2013,-28.00
Hotovost,,Nákupy,Jídlo > Nákupy,22/10/2013,-46.00
Hotovost,,Akce za poslední týden říjen,Volný čas > Párty,31/10/2013,-1 000.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",10/11/2013,-100.00
Hotovost,,jídlo Brno,Jídlo > Nákupy,10/11/2013,-178.00
Hotovost,,Akce Za Poslední Týden,Volný čas > Párty,10/11/2013,-544.00
Hotovost,,žvýkačky,Jídlo > Nákupy,11/11/2013,-16.00
Hotovost,,Nákupy,Jídlo > Nákupy,12/11/2013,-11.00
Hotovost,,Sádlo,Jídlo > Nákupy,13/11/2013,-15.00
Hotovost,,Spunty,Hygienické potřeby,13/11/2013,-53.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",17/11/2013,-100.00
Hotovost,,"Pasta, Deodorant",Hygienické potřeby,17/11/2013,-99.00
Hotovost,,Nákupy,Jídlo > Nákupy,17/11/2013,-144.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",17/11/2013,-28.00
Hotovost,,Hanka Oslava,Volný čas > Párty,20/11/2013,-100.00
Hotovost,,Nákupy,Jídlo > Nákupy,20/11/2013,-16.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",21/11/2013,-94.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,22/11/2013,-50.00
Hotovost,,Nákupy,Jídlo > Nákupy,24/11/2013,-140.00
Hotovost,,Prezentace,Rozvoj a vzdělání > Další,25/11/2013,-44.00
Hotovost,,Izolepa Prezentace,Rozvoj a vzdělání > Další,25/11/2013,-27.00
Hotovost,,S Vláďou a Ivet a pak Harackým,Volný čas > Párty,25/11/2013,-299.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,26/11/2013,-128.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",28/11/2013,-94.00
Hotovost,,Cimbal,Volný čas > Párty,28/11/2013,-150.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",29/11/2013,-14.00
Hotovost,,Sociální zabezpečení,Další příjmy,29/11/2013,700.00
Hotovost,,Vracení Železa,Další příjmy,30/11/2013,600.00
Hotovost,,"Tip, Herna",Volný čas > Párty,30/11/2013,-169.00
Hotovost,,Nákupy,Jídlo > Nákupy,03/12/2013,-19.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",03/12/2013,-100.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",04/12/2013,-100.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,06/12/2013,-366.00
Hotovost,,Forbes,Rozvoj a vzdělání > Další,08/12/2013,-89.00
Hotovost,,Nákupy,Jídlo > Nákupy,08/12/2013,-302.00
Hotovost,,Baterky,Majetek > Elektronika,08/12/2013,-44.00
Hotovost,,Stravování venku,Jídlo > Restaurace,09/12/2013,-30.00
Hotovost,,Nákupy,Jídlo > Nákupy,11/12/2013,-80.00
Hotovost,,Pizza,Jídlo > Restaurace,12/12/2013,-30.00
Hotovost,,Hare Kadlec Johnnies,Volný čas > Párty,12/12/2013,-120.00
Hotovost,,Zubarka,Služby > Zdravotní náklady,13/12/2013,-390.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",13/12/2013,-100.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",16/12/2013,-28.00
Hotovost,,Blahovka,Jídlo > Restaurace,17/12/2013,-90.00
Hotovost,,Brno Celodenní,Doprava > MHD,17/12/2013,-90.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",17/12/2013,-100.00
Hotovost,,Dárky Vánoce - Čaje,Dárky,18/12/2013,-170.00
Hotovost,,Dárky Vánoce - Petra,Dárky,18/12/2013,-300.00
Hotovost,,Dárky Vánoce - Trika,Dárky,18/12/2013,-1 000.00
Hotovost,,Dárky Vánoce - Knihy,Dárky,18/12/2013,-1 134.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,19/12/2013,-170.00
Hotovost,,Sociální zabezpečení,Další příjmy,19/12/2013,700.00
Hotovost,,Vánoce,Dary,27/12/2013,3 757.00
Hotovost,,Retro-párty Nivnice,Volný čas > Párty,29/12/2013,-774.00
Hotovost,,Silvestr,Volný čas > Kulturní akce,31/12/2013,-1 735.00
Hotovost,,Spotify Tátovi,Služby > Poplatky a subscriptions,09/01/2014,-1 000.00
Hotovost,,Mamka - alimenty,Další výdaje,10/01/2014,-2 000.00
Hotovost,,S Macu na pivku,Volný čas > Párty,11/01/2014,-145.00
Hotovost,,"V ruzi, Livingstone",Volný čas > Párty,15/01/2014,-284.00
Hotovost,,Nákupy,Jídlo > Nákupy,15/01/2014,-72.00
Hotovost,,MHD,Doprava > MHD,15/01/2014,-40.00
Hotovost,,Holicka,Služby > Holič,15/01/2014,-180.00
Hotovost,,MHD,Doprava > MHD,15/01/2014,-60.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",15/01/2014,-94.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",16/01/2014,-50.00
Hotovost,,Bageta,Jídlo > Restaurace,16/01/2014,-65.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,16/01/2014,-70.00
Hotovost,,MHD,Doprava > MHD,16/01/2014,-20.00
Hotovost,,Jirkovi,Další výdaje,18/01/2014,-50.00
Hotovost,,"UH - koncert, Brod, Taxi Šumice",Volný čas > Párty,19/01/2014,-902.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",19/01/2014,-14.00
Hotovost,,Sociální zabezpečení,Další příjmy,20/01/2014,700.00
Hotovost,,Kino,Volný čas > Kulturní akce,23/01/2014,-240.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",28/01/2014,-28.00
Hotovost,,Baterka,Majetek > Elektronika,28/01/2014,-64.00
Hotovost,,"Lapač, Kafé Brod, Bandr",Volný čas > Párty,31/01/2014,-210.00
Hotovost,,"Rande s Karlem - pizza, víno",Volný čas > Párty,31/01/2014,-580.00
Hotovost,,Hambac - Gril,Jídlo > Restaurace,01/02/2014,-160.00
Hotovost,,"Slanina, Vino",Jídlo > Nákupy,04/02/2014,-177.00
Hotovost,,Od Tatky Na Rande,Dary,04/02/2014,600.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",04/02/2014,-14.00
Hotovost,,Rande S Karlem - K2,Volný čas > Párty,07/02/2014,-200.00
Hotovost,,Narozeniny Bánov,Dary,07/02/2014,1 000.00
Hotovost,,"Maškarní, Hledání Mišela",Volný čas > Párty,09/02/2014,-356.00
Hotovost,,Nákupy,Jídlo > Nákupy,16/02/2014,-298.00
Hotovost,,"Víkend - gympl. ples, lapač",Volný čas > Párty,16/02/2014,-994.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",16/02/2014,-80.00
Hotovost,,Pizza u doktora,Jídlo > Restaurace,17/02/2014,-35.00
Hotovost,,Pod lékarnou,Volný čas > Párty,17/02/2014,-100.00
Hotovost,,Salinkarta,Doprava > MHD,17/02/2014,-685.00
Hotovost,,Hokej - Varna,Volný čas > Párty,18/02/2014,-170.00
Hotovost,,žvýkaně,Jídlo > Nákupy,18/02/2014,-16.00
Hotovost,,Hokej Varna,Volný čas > Párty,19/02/2014,-100.00
Hotovost,,Sociální zabezpečení,Další příjmy,21/02/2014,700.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",21/02/2014,-50.00
Hotovost,,U Misaka,Volný čas > Párty,22/02/2014,-200.00
Hotovost,,Kebovi za taxi,Volný čas > Párty,22/02/2014,-48.00
Hotovost,,Nákupy,Jídlo > Nákupy,23/02/2014,-181.00
Hotovost,,Stravování venku,Jídlo > Restaurace,24/02/2014,-35.00
Hotovost,,Civilka Na Melodce,Volný čas > Párty,25/02/2014,-130.00
Hotovost,,Dárek Tátovi - Kniha,Dárky,26/02/2014,-289.00
Hotovost,,Sušené Ovoce,Jídlo > Nákupy,26/02/2014,-40.00
Hotovost,,žvýkaně,Jídlo > Nákupy,26/02/2014,-16.00
Hotovost,,Voda,Jídlo > Nákupy,27/02/2014,-14.00
Hotovost,,Káva Kofi Kofi,Jídlo > Restaurace,27/02/2014,-44.00
Hotovost,,Nabijecka K Macu,Majetek > Elektronika,27/02/2014,-999.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",28/02/2014,-70.00
Hotovost,,Oběd Na Blahovce,Jídlo > Restaurace,28/02/2014,-80.00
Hotovost,,Rande S Karlem - K2,Volný čas > Párty,28/02/2014,-300.00
Hotovost,,Johnnies,Volný čas > Párty,04/03/2014,-80.00
Hotovost,,Nákupy,Jídlo > Nákupy,04/03/2014,-12.00
Hotovost,,Dárek od Babičky k narozeninám (odečteno od toho alkohol atd.),Dary,04/03/2014,713.00
Hotovost,,Nákupy,Jídlo > Nákupy,04/03/2014,-55.00
Hotovost,,Nákupy,Jídlo > Nákupy,05/03/2014,-42.00
Hotovost,,Nákupy,Jídlo > Nákupy,05/03/2014,-16.00
Hotovost,,Hamburger a 2 piva,Jídlo > Restaurace,06/03/2014,-180.00
Hotovost,,"Margot, brambůrky",Jídlo > Nákupy,06/03/2014,-48.00
Hotovost,,"Sýry, uzeniny, pečivo, víno, oříšky - večer s Karlem",Jídlo > Nákupy,07/03/2014,-506.00
Hotovost,,Pizza u doktora,Jídlo > Restaurace,07/03/2014,-35.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",07/03/2014,-50.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,09/03/2014,-205.00
Hotovost,,Nákupy,Jídlo > Nákupy,09/03/2014,-358.00
Hotovost,,S Petu Tylem A Market Erasmus,Volný čas > Párty,13/03/2014,-135.00
Hotovost,,"Žvýkačky, Rajčata",Jídlo > Nákupy,13/03/2014,-30.00
Hotovost,,Pizza,Jídlo > Restaurace,13/03/2014,-35.00
Hotovost,,Mamka - alimenty,Další výdaje,14/03/2014,-2 000.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",14/03/2014,-80.00
Hotovost,,Čaje,Jídlo > Nákupy,14/03/2014,-106.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,16/03/2014,-80.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,16/03/2014,-140.00
Hotovost,,Knihy,Rozvoj a vzdělání > Knihy,19/03/2014,-715.00
Hotovost,,Nákupy,Jídlo > Nákupy,19/03/2014,-61.00
Hotovost,,"Semestr MŠ, vínko Tom s Hanů, vínko s Tomem ve stáji",Volný čas > Párty,20/03/2014,-680.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",21/03/2014,-50.00
Hotovost,,"Košt Bánov, Buják",Volný čas > Párty,22/03/2014,-190.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",22/03/2014,-14.00
Hotovost,,"Pasta, Vata do uší",Hygienické potřeby,22/03/2014,-53.00
Hotovost,,Sociální zabezpečení,Další příjmy,22/03/2014,700.00
Hotovost,,Nákupy,Jídlo > Nákupy,23/03/2014,-116.00
Hotovost,,Holicka,Služby > Holič,24/03/2014,-180.00
Hotovost,,Voda Na Schůzce,Volný čas > Párty,25/03/2014,-30.00
Hotovost,,Bláhovku,Volný čas > Párty,26/03/2014,-100.00
Hotovost,,Petr A Tom Ve Stáji,Volný čas > Párty,26/03/2014,-200.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,28/03/2014,-145.00
Hotovost,,Nákupy,Jídlo > Nákupy,28/03/2014,-272.00
Hotovost,,"Lukáš, Tom, Honza - Brno",Volný čas > Párty,29/03/2014,-516.00
Hotovost,,Oběd Semestr MŠ,Jídlo > Restaurace,29/03/2014,-200.00
Hotovost,,Nákupy,Jídlo > Nákupy,01/04/2014,-41.00
Hotovost,,2 Piva,Volný čas > Párty,01/04/2014,-50.00
Hotovost,,"Kometa Pub, Stáj",Volný čas > Párty,01/04/2014,-209.00
Hotovost,,K svátku,Dary,05/04/2014,700.00
Hotovost,,Nákupy,Jídlo > Nákupy,06/04/2014,-177.00
Hotovost,,"S Hromčíkem, s Gabrielů",Volný čas > Párty,07/04/2014,-550.00
Hotovost,,Pivo,Volný čas > Párty,08/04/2014,-198.00
Hotovost,,S Danem pivo,Volný čas > Párty,09/04/2014,-30.00
Hotovost,,Networking - JobAcademy,Volný čas > Párty,10/04/2014,-370.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",11/04/2014,-80.00
Hotovost,,Mimo Skolu Networking,Volný čas > Párty,11/04/2014,-52.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,11/04/2014,-27.00
Hotovost,,Mamka - alimenty,Další výdaje,12/04/2014,-2 000.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",12/04/2014,-14.00
Hotovost,,Od Rodiny K Svátku A Narozeninám,Dary,13/04/2014,1 500.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",14/04/2014,-200.00
Hotovost,,Stravování venku,Jídlo > Restaurace,15/04/2014,-50.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,15/04/2014,-120.00
Hotovost,,Nákupy,Jídlo > Nákupy,16/04/2014,-98.00
Hotovost,,"Zelený čtvrtek, Mára Machalík",Volný čas > Párty,17/04/2014,-576.00
Hotovost,,Firemní párty,Volný čas > Párty,18/04/2014,-115.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",19/04/2014,-100.00
Hotovost,,Babička Za Vinš,Dary,20/04/2014,200.00
Hotovost,,Dmae,"Jídlo > Doplňky, nootropika a léky",22/04/2014,-250.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",22/04/2014,-110.00
Hotovost,,4 Piva,Volný čas > Párty,22/04/2014,-108.00
Hotovost,,Nákupy,Jídlo > Nákupy,23/04/2014,-80.00
Hotovost,,Nákupy,Jídlo > Nákupy,24/04/2014,-17.00
Hotovost,,Nákupy,Jídlo > Nákupy,24/04/2014,-46.00
Hotovost,,"Kometa Pub, Stáj",Volný čas > Párty,25/04/2014,-306.00
Hotovost,,Nákupy,Jídlo > Nákupy,25/04/2014,-240.00
Hotovost,,Nákupy,Jídlo > Nákupy,27/04/2014,-266.00
Hotovost,,"Jízda s Františkem, Hippies párty s Pepů",Volný čas > Párty,28/04/2014,-801.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,29/04/2014,-150.00
Hotovost,,Školení Kisk,Další příjmy,29/04/2014,500.00
Hotovost,,úprava bilance,Další výdaje,04/05/2014,-736.00
Hotovost,,Fr ChurY,Volný čas > Párty,05/05/2014,-120.00
Hotovost,,Nová bilance,Další příjmy,05/05/2014,40.00
Hotovost,,Stravování venku,Jídlo > Restaurace,06/05/2014,-35.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,06/05/2014,-80.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,06/05/2014,-110.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",07/05/2014,-100.00
Hotovost,,Mamka - alimenty,Další výdaje,07/05/2014,-2 000.00
Hotovost,,Caj S Frabtou,Volný čas > Párty,07/05/2014,-60.00
Hotovost,,Další,Další příjmy,07/05/2014,500.00
Hotovost,,Nákupy,Jídlo > Nákupy,14/05/2014,-16.00
Hotovost,,Nákupy,Jídlo > Nákupy,14/05/2014,-169.00
Hotovost,,Nová bilance,Další příjmy,19/05/2014,1 104.00
Hotovost,,Oblečení,Oblečení,20/05/2014,-748.00
Hotovost,,Nákupy,Jídlo > Nákupy,20/05/2014,-115.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",08/06/2014,-100.00
Hotovost,,Nová bilance,Další výdaje,08/06/2014,-749.00
Hotovost,,Voda,Jídlo > Restaurace,09/06/2014,-30.00
Hotovost,,Nákupy,Jídlo > Nákupy,09/06/2014,-12.00
Hotovost,,Oslava Frantova titulu,Volný čas > Párty,10/06/2014,-305.00
Hotovost,,Dárek Frantovi k narozkám,Dárky,10/06/2014,-80.00
Hotovost,,Půjčka Pepovi,Další výdaje,12/06/2014,-48.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",13/06/2014,-80.00
Hotovost,,Nákupy,Jídlo > Nákupy,13/06/2014,-39.00
Hotovost,,Kapla Fest,Volný čas > Párty,13/06/2014,-211.00
